#Key;en;fr
COURSES;Hello!\nWe are an online-learning company and we prepare educational courses on our own platform. Have you heard of E-Learning? Even though we are a small team, we are growing rapidly and our main goal is to make education modern and personalized. In order to reach this goal, we need a programmer, who will make an algorithm which will pick the best courses for each student based on his/her interests and goals written in the questionnaire. What do you think about this idea?;
COURSEST;Mr. cat's school;
COURSESSHORTT;Mr. cat's school;
COURSESFROM;catschool@cat.meow;
HEALTH;Good day.\nOur lab is researching cancer cells and we are close to something that might be a breakthrough in this field of knowledge. We are a start-up and we need a qualified specialist in our team, who will be able to write an algorithm which will divide cancer cells by type. There are 2 types we're working with at the moment.\nSo, are you ready to make an impact to the medicine of tomorrow?;
HEALTHT;Blood Center;
HEALTHSHORTT;Blood Center;
HEALTHFROM;bloodsuckers@cat.meow;
CURTASK;Current task;Tâche actuelle
POMODORKAZRPROMO;The cat was unlocked;
TREE;Tree;Arbre
PROGRESSTREE;Task tree;Arbre des tâches
USEASCUSTOM;Use as custom;
GP;"Good afternoon. \nWe are a cargo transportation company and are now working passionately on improving our service. Our cargo distribution system is old and works badly, it often fails. We want you to automate the process and make an algorithm which will sort the goods by their characteristics. This is very crucial for the efficiency of our deliveries.
High sorting accuracy is very important to us. Do you accept the task?";
GPT;Medx;Medx
GPSHORTT;Medx;Medx
GPFROM;medx@cat.meow;medx@chat.miaou
KL;Hi there, my name is Sarah!\nI own a small technology farm. We are improving our processes using the latest technologies. Shops we are working with need supplies of eggs of different kinds, and it takes a lot of time to sort them manually. That's why we've decided to automatize the process. We have all the necessary characteristics used to calculate eggs parameters, but we need an algorithm which will work without any human assistance with high accuracy. ;
KLT;"""Chicken Escape"" farm";
KLSHORTT;"""Chicken Escape"" farm";
KLFROM;chickeneggs@cat.meow;
TQ;"Good day.\nOur company is making a sociological research. We are currently working in the field of ""Crowd psychology"" and we need an algorithm which will be capable of defining a person's type based on certain behavior triggers. This way we will be able to quickly identify dangerous individuals in the crowd according to their behavior, and prevent unpleasant accidents.
We have identified the parameters to work with, but we need an experienced developer to write the algorithm.";
TQT;Crowd psychology;
TQSHORTT;Crowd psychology;
TQFROM;fightmangroup@cat.meow;
YU;Hello!\n My name is Sam, I own a dairy products factory. I am new in this business but I see that there are some things that need improvement. I dream of producing the goods that would be both of high quality and exquistely tasty! And they simply can't be made without high accuracy in fermentation processes. Alright, off with those fancy words. I want to teach a program to be able to tell the quality of a product judging on its ingredients. This way we will get able to separate tasty and well-made products from bad ones. We often make mistakes when doing it manually, and a lot of our products never leave the factory since we mark them as defective ones. We have the data, but we need a program. ;
YUT;Dairy products manufacture;Usine de produits laitiers
YUSHORTT;Dairy products manufacture;Usine de produits laitiers
YUFROM;freshmilk@cat.meow;laitfrais@chat.miaou
WA;Hello, we are the Metal Gear Construction factory.\nWe produce fittings and supply raw materials to large construction projects all around the world. We are especially proud of our high standards of quality. At the moment, we need to increase our production rates. We've received a lot of new orders and we are running late with the deadlines. An algorithm is required that will determine the quality of the raw material after scanning it and would discard poor-quality ore before it leaves the conveyor. The process is very complex and manual analysis takes way more time then we can afford.;
WAT;“Metal Gear Construction” factory;"Usine ""Metal Gear Construction"""
WASHORTT;“Metal Gear Construction” factory;"Usine ""Metal Gear Construction"""
WAFROM;sollidconstruct@cat.meow;
JU;Good day!\nOur group is working on finding an ancient artifact called Turssaract. It is a very unstable element which radiates energy in different specters. We have almost found out how to use its power to benifit the humankind, but we need a smart algorithm that will separate and direct the flows of energy correctly. \nRevolution in energetics is just around the corner, my friend! ;
JUT;Ancient artifact;Ancient artefact
JUSHORTT;Ancient artifact;Ancient artefact
JUFROM;notloki@cat.meow;
IQ;Top of the morning to you from Zimaletto Outfits! \nWe're trying to optimize our production lines and that means making significant changes to manufacturing process. Namely, we need a system that would distribute textile by material and send them to respective conveyors, in equal amounts. \nWe believe that you might be the one who could nail this job, so we look forward to hearing back from you!;
IQT;New production - the best clothes;Nouvelle production - les meilleurs vêtements
IQSHORTT;New production - the best clothes;Nouvelle production - les meilleurs vêtements
IQFROM;zimaletto@cat.meow;zimaletto@chat.miaou
PPP;Good day to you!\nWe are a secret military organization, our code name is Pro_Toss. Everything you are going to read further is strictly confidential. Our analysts are sending our operatives to various conflict zones. An escalation of conflict with the enemy has recently occurred. We are in need of a self-learning algorithm capable of quickly sending the necessary soldiers from the specifically picked subdivisions to respective parts of the battlefield.;
PPPT;Secret information;Information secrète
PPPSHORTT;Secret information;Information secrète
PPPFROM;notexthere@cat.meow;pasdetexteici@chat.miaou
NUY;Greetings.\nOur company, Cyber Initiative is into manufacturing androids. Our HQ is in Detroit, and the production process is robotized. The only function which is still performed by human workers is logistics: we're shipping our androids to the government, military companies and etc. We would love to automatize this process with an algorithm that will send androids to whereever they're needed, depending on their characteristics. ;
NUYT;Cyber Initiative;Cyber Initiative
NUYSHORTT;Cyber Initiative;Cyber Initiative
NUYFROM;cyber_in@cat.meow;Cyber_in@chat.miaou
SWITCH TO NODE;Open node's structure;
DOUBLE CLICK;Double click;Double-clic
HELPLOCALIZATION;Can't find language?;
TRANSLATE;Help us translating the game and get a specially tailored cat outfit!;
QW;Howdy!\n I'm contacting you on behalf of NukaToy company. We design and manufacture toys for children using 3D-printing technology. There are 3 types of raw materials we use for printing and we need an algorithm that would distribute them correctly. Passing a certain errors threshold could result in a disaster, so watch out for those!;
QWT;New technologies in toy manufacturing;
QWSHORTT;New technologies in toy manufacturing;
QWFROM;nukeyourtoy@cat.meow;
RU;;
RUT;;
RUSHORTT;;
RUFROM;;
SKIP INTRO;Skip introduction;Passer l'introduction
TREETUTORIALTASKS;The Task Tree displays your in-game progress\n\nDifferent type of tasks will be marked with different colors and icons. Each icon corresponds to a certain type of tasks.\n\nAs you get further in the game, more awesome stuff will start appearing in the in-game's shop!;
TREETUTORIALCONECTIONS;Lines on the Task Tree show in which order the tasks will be unlocked\n\nIf you see a task which is locked at the moment, you can check its requirements by placing the cursor on it\n\nSometimes, in order to unlock a task, you will need to complete a certain group of tasks or even several groups of tasks;
TREETUTORIALEDUCATIONAL;By moving up the Tree trunk, you will be learning new machine learning algorithms.\n\nDon't be afraid to ignore side-tasks: you can get back to completing them whenever you want;
Tree structure;Tree structure;
Tasks;Tasks;
Connections;Connections;
TREETUTORIALEDUCATIONAL2;If some of the tasks seem too hard to tackle, you can train in side-tasks.\n\nThis way you will be able to create more useful schemes which will help you complete harder quests and get enough funds to upgrade your equipment;
ONLY RED FAST1 BLOCK;RG/GB/RG ;
ONLY TRIANGLE1 BLOCK;C/S/T SIFT;
ONLY RED FAST2 BLOCK;RB/RG Sort;
FIRST PERCEPTRON1 BLOCK;All/? Sort;
FIRST PERCEPTRON-2 BLOCK;Color/Shape;Couleur/Forme
R/R PARALLEL1 BLOCK;Color Sort;Tri Couleur
R/R PARALLEL2 BLOCK;Parallel Color;Couleur parallèle
R/R/R/R PARALLEL1 BLOCK;All/R/B;Tout/R/B
R/R/R/R PARALLEL2 BLOCK;All/All/R/B;Tout/Tout/R/B
SUREJOINSTARTUP2;Are you sure you want to do this?;Êtes-vous sûr(e) de vouloir faire ca ?
SUREJOINSTARTUP;You are about to invest %NUM$ in the start-up;Vous êtes sur le point d'investir %NUM$ dans la start-up
CREDIT;Credit;
DAYCREDIT;Days left;
HIDECOMPLETEDTASKS;Hide completed tasks;Masquer les tâches complétées
HIDEOLDSTARTUPS;Hide irrelevant start-ups;
HIDEREADLETTERS;Hide read letters;Masquer les courriers lus
4SCHEMESCATHUBTUT;These are CatHub repositories\n\nThey store previously made schemes and allow switching between them, when required\n\nYou can choose a version of the scheme which will be used as custom node;
CATHUBTUT;CatHub;CatHub
USEASCUSTOMTUT;Custom Nodes;
USEASCUSTOMTUTBODY;You can to choose a version of the scheme which will be used as a custom node;
TIMETUTORIALHEADER;Processing time;
TIMETUTORIALTEXT;Different blocks have different processing rates\n\nThis parameter will influence efficiency of your schemes\n\nIcons on the right indicate the time required for a block to process one element of data;
ERRORTUTORIALHEADER;Error rate;Taux d'erreurs
ERRORTUTORIALTEXT;"And now for something completely different! Perceptrons can actually learn and improve\n\nBad news: they also make a ton of errors on the way (the percentage of errors is shown on this icon)\n\nUse ""Training"" mode to teach perceptrons and decrease the amount of errors\n\n(You might need several iterations of training for best results)";
SERVERTUTORIALHEADER;Servers;Serveurs
SERVERTUTORIALTEXT;To proceed data, your blocks need computing powers: the servers\n\nCertain blocks require more than one server\n\nThe more servers you use, the more expensive your scheme becomes;
MEMORYTUTORIALHEADER;RNN memory;
MEMORYTUTORIALTEXT;For RNN to start predicting things, connect the lower pairs of sockets from right to left\n\nThis part of the block represents RNN's memory;
SPEEDTUTORIALHEADER_P1;Faster, better, stronger;Vitesse du jeu
SPEEDTUTORIALTEXT_P1;To decrease and increase speed, click a <color=#ffbd18>button</color> on the screen or use <color=#ffbd18>arrows</color> or <color=#ffbd18>A</color> and <color=#ffbd18>D</color> buttons\n\nUse <color=#ffbd18>space</color> to pause;
INPUTSPEEDCUSTOMTUTORIALBODY;This icon indicates how often a custom block can start processing another element of data;
INPUTSPEEDCUSTOMTUTORIALTITLE;Data processing acceptance frequency;
PROCESSEDTUTORIALBODY;That icon with two arrows indicates the total number of elements being processed by a block;
PROCESSEDTUTORIALTITLE;Number of processed elements;
COPYPASTETUTORIALHEADER;Copy and paste;Copier et coller
COPYPASTETUTORIALTEXT;Did you know: you can treat blocks pretty much like any file on your computer\n\nUse <color=#ffbd18>Ctrl+C</color> to copy, <color=#ffbd18>Ctrl+V</color> to paste\n\nClick, hold and drag your mouse to select multiple blocks etc.\n\nProgramming is easy (sometimes, at least)!;
OCCACCTUTORIALTEXT_P1;See these colorful geometric shapes? They represent various kinds of data\n\nIn modern world, everything can be turned into data: numbers, letters, elements of images...\n\nMachine learning is all about sorting and interpreting data;
OCCACCTUTORIALHEADER_P1;Output stream;
OCCACCTUTORIALTEXT_P2;Long story short, your goal in the game is to transfer data from the left part of the screen to the right\n\nThis bar shows the minimum amount of data that needs to be processed to complete the task;
OCCACCTUTORIALHEADER_P2;Accuracy requirements;Précision nécessaire
OCCACCTUTORIALTEXT_P3;You don't always need to sort 100% of data correctly. Check out the accuracy bar on an output node to see the requirements!;
OCCACCTUTORIALHEADER_P3;Task completion conditions;
CATCASH;CATCASH;
BANK;BANK;BANQUE
OCCACCTIMERTUTORIALHEADER_P1;Maintain accuracy level;Maintenir le niveau de précision
OCCACCTIMERTUTORIALTEXT_P1;In certain tasks with perceptrons, you need to keep the accuracy of your data flow above the required level while the timer is filling\n\nIf the accuracy drops, the timer will be reset\n\nThe timer is only active in test run and release run;
OCCACCTIMERTUTORIALHEADER_P2;Timer;
OCCACCTIMERTUTORIALTEXT_P2;This timer fills up when the accuracy goes higher than necessary. You can see the time left to keep the accuracy at the current rate at the top;
OCCACCTIMERTUTORIALHEADER_P3;Accuracy;Précision
OCCACCTIMERTUTORIALTEXT_P3;You need to control the quality of data distribution as the time passes by. In some tasks, the required accuracy can be lower than 100%. Because of this, there is some space left for making one or a few mistakes;
SPEEDTUTORIALHEADER_P2;Speed;Vitesse
SPEEDTUTORIALTEXT_P2;You can change current game speed with hotkeys;Vous pouvez changer la vitesse du jeu à l'aide de raccourcis clavier
BATISKAFPROMO;The cat was unlocked;Le chat a été débloqué
ITEMS;Good day.\n\nI am the CEO of a small, yet, I hope, successful HolaExpress start-up. We are delivering different exclusive goods from different countries. We search for rarities which are hard to find and help people purchase them with comfort. We have 2 site we sell our services on, and we are receiving so many orders that we can't keep up the pace. I want to ask you to make a smart order processing system for our business and offer you a stake in our start-up if the business runs well.\n I look forward to hearing back from you!;
ITEMST;Rare items;Objets rares
ITEMSSHORTT;Rare items;Objets rares
ITEMSFROM;holadelivery@cat.meow;
SOMEBODYS;Hello-hello there! We are the T-Motors company. \n\nWe are famous for constructing high-tech cars, they can do almost everything, except flying. We are a rather young company, almost a start-up, but we have a lot of orders already. Our logistics, though, is our weak spot. All details are sent to us from 2 factories, we are receiving a lot of information from them, so much it gets confusing. As a result, we make mistakes and the production halts. Help us solve this logistic paradox with the help of a special algorithm. This matter is truly important to us and we are ready to offer you a share in the business for helping us out. ;
SOMEBODYST;High-tech cars;
SOMEBODYSSHORTT;High-tech cars;
SOMEBODYSFROM;tmotors@cat.meow;
TYY;Greetings.We hope that this message will remain confidential. \n\nWe are Sniffer.all, an analytics agency, and our services include parsing huge companies databases. The issue lies in their protection systems - we have a very small amount of time to download all the data we need before we get tracked. We need an algorithm that will download the data we need fast and secure.The payment will be sent to you after the first successful parsing made with your program.;
TYYT;Industrial espionage;Espionnage industriel
TYYSHORTT;Industrial espionage;Espionnage industriel
TYYFROM;sniffeverything@cat.meow;renifletout@chat.miaou
HJ;Good day. \n\nWe have developed an innovative printing machine that allows you to apply complex patterns to any surface. It has two printheads - this speeds up the printing process a lot. But the distribution of colors does not work for us, the printer confuses colors. To release our novelty on the market, we need to solve this problem. Can you help us?;
HJT;Color business;
HJSHORTT;Color business;
HJFROM;colorme@cat.meow;coloremoi@chat.miaou
YTYE;Good day.\n\nI am representing McRallen company interests. Our pilots are participating in different types of races: from rally to Formula 1. They are doing their best to always improve their results and our project is here to help them out. We want to make a system that will be calculating ideal passage trajectory by machine training means. Roughly speaking - it will learn to pass the track perfectly. We were told that you are a specialist who is capable of carrying out such a task. ;
YTYET;Trajectory thirst;
YTYESHORTT;Trajectory thirst;
YTYEFROM;McRallenF1@cat.meow;
YOR;Hello.\n\nOur company, CyberNeon2088 is making LED scoreboards. Each scoreboard is built by a robot, but then we have to spend a lot of time on quality assurance. We want to improve the firmware of our assembly robots so that our employees wouldn't have to spend their time to do routine checkings. It is necessary to distribute and solder the lamps of the desired shape and color to the places corresponding to the project plan.;
YORT;Neon city;Ville néon
YORSHORTT;Neon city;Ville néon
YORFROM;CN2088@cat.meow;CN2088@chat.miaou
IIIL;Hi there. This is SortStuff company. \n\nWe are a postal company. Every day thousands of parcels pass through us. No one likes it when their packages from HolaExpress get send somewhere else by mistake. We have a sorting system for incoming mail for a long time already, it distributes packages depending on the marking of the order, but it makes too many errors. We want to reduce the number of unpleasant situations to the minimum.;Salut. C'est l'entreprise TriChose.\n\nNous sommes une entreprise postale. Tous les jours des milliers de paquets transitent grâce à nous. Personne n'aime quand ses paquets d'HolaExpress arrivent quelque part d'autre par erreur. Nous avons depuis longtemps un système de tri pour le courrier entrant, il distribue les paquets en fonction du marquage de l'ordre, mais il fait trop d'erreurs. Nous voulons reduire au minimum le nombre de situations désagréables.
IIILT;A package for you;Un paquet pour vous
IIILSHORTT;A package for you;Un paquet pour vous
IIILFROM;sortissimo@cat.meow;trissimo@chat.miaou
KKJ;"Greetings.\n\nOur team, ""101"", is developing a new system of augmented virtual reality, which will combine not only visual images but also tactile sensations. However, we need help in developing the algorithm for data processing. As you may understand, there must be no errors in the process as we don't want to disrupt player experience!";
KKJT;VR;RV
KKJSHORTT;VR;RV
KKJFROM;i0icorp@cat.meow;
TRY;Good day. \n\nWe are the Plants&Color company. We are growing a variety of plants and deliver them even to distant countries. We are able to offer such services thanks to a special method of selection: depending on the remoteness of the customer, the conveyor selects fruits at different stages of ripeness. This method allows us to bring products of the required maturity and freshness. We want to improve the pipeline by using an algorithm that will determine the degree of fruits ripeness and collect them.;
TRYT;Fruits and vegetables;Fruits et légumes
TRYSHORTT;Fruits and vegetables;Fruits et légumes
TRYFROM;planted@cat.meow;plante@chat.miaou
YIY;Hello!\n\nOur lab, RGBvision, is engaged in the development of high-tech optics and right now we are working on the creation of night vision devices of the newest generation. We are going to embed a new color filtering into our devices. We need to teach our processors to define and distribute colors according to the created criteria. Will you help us with this?;
YIYT;New generation NVD;
YIYSHORTT;New generation NVD;
YIYFROM;RGBvis@cat.meow;
FIRST PERCEPTRON3  BLOCK;Circle/SquareTriangle/All;Rond/CarréTriangle/Tout
R/G DIVIDE 50%1 BLOCK;RedGreen/RedBlue;RougeVert/RougeBleu
R/G DIVIDE 50%2 BLOCK;RedGreen/RedBlue/Blue;RougeVert/RougeBleu/Bleu
GENETIC DIVIDE1 BLOCK;GreenBlue/RedBlue/RedGreen;VertBleu/RougeBleu/RougeVert
ONLY SQUARE 60%1 BLOCK;All/SquareCircle;Tout/CarréRond
ONLY SQUARE 60%2 BLOCK;RedGreen/RedBlue/All;RougeVert/RougeBleu/Tout
R/G/B MACHINE SORT1 BLOCK;ShapesColor;
ACC R MACHINE1 BLOCK                                                                  ;ShapesGreen/Blue;
UIK;Hey there! I run a small confectionary business called Nom-Nom's Candy.\n\n The demand for our sweets has been booming lately but all our candies are hand-made. Needless to say, we're running behind schedule and desperately need to optimize our production! We have a conveyor that hopefully will help us with packing the goods, but it needs to be trained to distinguish sweets by their kind.;
UIKT;Candy production;Production de confiseries
UIKSHORTT;Candy production;Production de confiseries
UIKFROM;candynom@cat.meow;bonbonmiam@chat.miaou
GETCHESIRE;Get a cat;
GETCHESIRELINK;http://eepurl.com/c8mpOP;
ER;Greetings!\n\nOur company Robocoffee is famous for its automated coffee machines. We want our coffee to be as exquisite as is famous Italian brews, but we're not quite there yet... Maybe a computer algorithm could help us master our recipes? Of course, mistakes will be made, but we're sure that something good will come out of it in the end!;
ERT;Automatic coffee machines;Machines à café automatiques
ERSHORT;Automatic coffee machines;Machines à café automatiques
ERFROM;robobean@cat.meow;
ERY;Good day to you,\n\nThis is the visa center of Krakozhia. We are sad to inform your that your application has not yet been processed. However, the background you have mentioned in your application form, made us want to offer you a job opportunity! We want to improve the efficiency of our center and speed up the process of reviewing the applications. An algorithm that could sort applications by the marks on them would do the trick! If we'd have this done by a machine, anyone seeking entrance to our glorious country could apply for a visa in a matter of minutes (instead of spending half a day at the visa center, as they're doing now).;
ERYT;Visa center of Krakozhia;
ERYSHORT;Visa center of Krakozhia;
ERYFROM;yourvisa@cat.meow;
WATCHYOUTUBET;Watch;Visionner
WATCHYOUTUBE;Educational videos will quickly teach you the basics.;
WATCHYOUTUBEURL;https://www.youtube.com/watch?v=RPvLgzEybJU&list=PL_Nji0JOuXg2udXfS6nhK3CkIYLDtHNLp;
READONWIKIT;Read;Lire
READONWIKI;Keep learning and read about how it works;Continuer d'apprendre et lire au sujet de son fonctionnement
READONWIKIURL;https://en.wikipedia.org/wiki/Machine_learning;https://fr.wikipedia.org/wiki/Apprentissage_automatique
LEARNPYTHONT;Learn Python;
LEARNPYTHON;Learn to program in a language used by ML professionals around the world;
LEARNPYTHONURL;"https://www.coursera.org/learn/learn-to-program;https://www.coursera.org/specializations/applied-data-science";
LEARNCOURSERAT;Learn and practice;Apprendre et s'entrainer
LEARNCOURSERA;Take educational courses and learn a lot of new things;
LEARNCOURSERAURL;https://www.coursera.org/specializations/machine-learning;
LEARNGOOGLET;Start your learning;Commencer l'apprentissage
LEARNGOOGLE;View a simple machine learning overview course from a professionals of Google;
LEARNGOOGLEURL;https://developers.google.com/machine-learning/crash-course/;
WINKAGGLET;Code and practice;
WINKAGGLE;Develop your skills and take part in competitions in machine learning. Remember that for the victory in some of them pay money;
WINKAGGLEURL;https://www.kaggle.com/competitions?sortBy=grouped&group=general&page=1&pageSize=20&category=gettingStarted;
POSTARXIVT;Explore and learn;Explorer et apprendre
POSTARXIV;Write your own scientific paper. Move humanity forward;
POSTARXIVURL;https://arxiv.org/;
MAKINGMONEYT;Earn money!;
MAKINGMONEY;The average salary of a specialist in machine learning in Google is 145,000 dollars;Le salaire moyen d'un spécialiste en machine learning employé chez Google est de 145.000 dollars
MAKINGMONEYURL;https://www.kaggle.com/competitions?sortBy=grouped&group=general&page=1&pageSize=20&category=featured;
NET0SHOP;CriCom network card;
NET1SHOP;PP-Link GT-3482;
SWITCHSHOP;Switch PRL;
NET2SHOP;Kyrocea BI-33, 24428URL;
OPTSHOP;Fiber optic cable;
FOLLOWWHITERABBIT;Go deeper into ML step by step;
SPEED_TEXT;km/h;km/h
CROSSOVER_CHECKBOX;Crossover;
KILL_PARENTS_CHECKBOX;Fast generation change;
PARENTS_PERCENTILE;Percentage of selection;
SPECIES_MUTATION_PROBABILITY;Species mutation probability;
GENE_MUTATION_PROBABILITY;Gene mutation probability;
POPULATION_SIZE;Population size;
MUTATION_RATE;Mutation rate;
RANDOM_SEED;Random seed;
ITERATION_BEFORE_EVALUATE;Training steps;
YOUR_SCORE;Your average speed;
DLL;DLL;
DLL SAVED AS;DLL saved as;
YOUR_MONEY;Your AI cost;
EPOCH_NUMBER;Epoch number:;
GENETIC_EVOLVE;Evolve;
AUTO_EVOLVE;Auto evolve;
SPECIES_MUTATED;Species mutated:;
GENES_MUTATED;Mean genes mutated:;
STATS;Stats;Stats
MEAN_SPEED;Mean speed:;
STD_SPEED;Speed deviation:;
ESTIMATED_COST;Estimated AI cost:;Estimation du coût de l'IA :
GGH;"\nHey there!\n\nI am an inventor and I've spent years trying to create a new generation stealth suit. I plan to call it the Cry-suit. I think I'm on the verge of a breakthrough, but the particlse responsible for dynamic color adaptaion to the environment can malfunction occasionally and the camouflage is far from being perfect, as it is. Can you help me write an algorithm that will improve it?\n";
GGHT;The Invisible matter;
GGHSHORT;The Invisible matter;
GGHFROM;invis@cat.meow;
DPD;Greetings to you.\n\nWe are from the police. Don't worry, we're not going to press any charges (not at this time), but instead we're looking for help from you, if you're willing to cooperate. Our analysts are seeking for ways of improving our picture recognition systems. Long story short, we're looking for ways to improve the quality of pictures in order to be able to see even the smallest details. But we're kind of stuck as our program is just not good enough to recognize certain silhouettes. We would also like to improve the color restoration system, and combine those two, so they could work together. Can you help us out?;
DPDT;Police Technology;
DPDSHORT;Police Technology;
DPDFROM;csi2048@cat.meow;
ERTER;"Good afternoon.\n\nI'm a representative of the Assemble&Play art studio. We produce artisan goods, gaming & sports merchandise, along with other things. Among those are action figures, and those are quite complicated to manufacture. They include lots of small details and here at A&P, we want our production to be just perfect! Therefore, we could use an algorithm that would help eradicate mistakes during production and painting the details.\n\n";
ERTERT;Art Studio;
ERTERSHORT;Art Studio;
ERTERFROM;a&p@cat.meow;
RGR;"Greetings!\n\nWe represent the Fony corporation. As you may know, we are producing all kinds of electronics, but we're especially proud with our photo and video cameras. Our engineers are doing their best to ensure perfect color rendition for all of our optics. We're currently looking to hire a programmer who could help us create a color chip which could recognize colors and improve rendition with the least possible amount of mistakes. Please consider this message an official job offer for you.\n";
RGRT;Perfect photo;
RGRSHORT;Perfect photo;
RGRFROM;fony4you@cat.meow;
DLLUNLOCK;DLL unlock;
DLLTUTORIALUNLOCK;New DLL slots can be bought in C-Bay;
DLLTUTORIALS;DLL is basically a sandbox for schemes: create them, apply them in tasks, experiment as you wish!\n\nYou can use almost all kinds of blocks and as many inputs and outputs as you see on this screen\n\nKeep in mind that you only have one slot for DLL blocks by default: go to the shop to get more!;
EVAL_PROGRESS;Evaluation in progress :;
BLOCKS USED;Nodes used;
CUSTOMS USED;Customs nodes used;
TOO_MANY_SERVERS;Too many servers in the scheme for this task;
TOO_MANY_CUSTOMS;Too many customs in the scheme for this task;
TEACH_RUN;Supervised learning;
USE_REPLAY;Use player replay;
SPAM1;Need an advertisement campaign on the Internet? Are you creating your own brand? Pluto Buddy will help you!\nPluto Buddy service perfectly operates with the best techniques of direct marketing, which goal is to provide the best products and specialists to users! \nIf you have not yet subscribed to our newsletters with the coolest products - do not worry! Do not look for us, we will find you ourselves!;
SPAM1T;Pluto Buddy;
SPAM1FROM;plutobuddy@cat.meow;
SPAM2;Today only!\nThe creator of quantum technologies and the founder of the company with the corresponding name, Pank Him, will hold a free educational webinar on quantum particles and quantum reduction technologies. Immerse yourself in quantum science, learn the secrets of quantum reduction and become a quantum science specialist!;
SPAM2T;Free quantum technologies webinar!;
SPAM2FROM;carrendross@cat.meow;
SPAM3;"You are browsing on how to earn easy money and you still haven't found out how? You believe that bitcoin will flop soon? Are you tired of your boss? If you want to earn money, Grazzille will tell you how!\n""Alchemy"" service makes money almost out of air only! All you need is to open an account in our bank and see how your earnings grow. We will do everything for you, that's how the magic works!";
SPAM3T;A legal way to earn money on the Internet! ;
SPAM3FROM;grazzil_alchemy@cat.meow;
SPAM4;You've always dreamt of going on a vacation but you've been afraid that you will make a mistake in planning it? With Noobtours assistance, this will never happen to you! Webinars and meetups with experienced travellers. We will teach you to plan your journeys and offer already fully scheduled trips to warm countries: Embir, Cracosus, Vudia, Nibiia and many other places are waiting for you! ;
SPAM4T;Hot tours for travelling newbies!;
SPAM4FROM;noobtours@cat.meow;
STAYAWHILE;Stay awhile and take survey;
SOCIALSURVEY;Spend 5 seconds to fill out our anonymous survey and get a unique kitty;
TAKESURVEY;Take Survey;Participer au sondage
DISCORD_URL;https://discord.gg/W8KhjSf;
SURVEY_URL;https://docs.google.com/forms/d/e/1FAIpQLSdC84Wly04p77yzXf8jYybEntVMRffe_xz2J7tc1KtnOTrV4Q/viewform;
BATHYSCAPHEPROMO;The cat was unlocked;Le chat a été débloqué
FEEDBACATPROMO;The cat was unlocked;Le chat a été débloqué
PZRCATPROMO;The cat was unlocked;Le chat a été débloqué
USEINRELEASE;Use in release;
CROSSOVER_POPUP;Improves AI learning speed;
KILL_PARENTS_POPUP;Improves AI learning speed, reduces stability;
POPULATION_SIZE_POPUP;Improves AI learning stability, reduces learning speed;
RANDOM_SEED_POPUP;Affects on initial level configuration;
MUTATION_RATE_POPUP;Increases mutation effect;
TRAINING_STEPS_POPUP;Improves AI learning stability, might reduces learning speed;
PARENTS_PERCENTILE_POPUP;Improves descendants diversity;
SPECIES_MUTATION_PROBABILITY_POPUP;Prevents AI stagnation;
GENE_MUTATION_PROBABILITY_POPUP;Prevents AI stagnation;
SHOW_IN_ROOM;Show in room;
OTHER;Other;
HIDE_IN_ROOM;Hide in room;
TEACH_PROGRESS;Recording...;
POSSIBLE_RESULT_TASK;Estimated result;
RESULT_TASK;Final result;Résultat final
smartphone2SHOP;Sumsunq X456;
smartphone2DESCR;New generation of the Sumsunq;
smartphone3SHOP;YouPhone;
smartphone3DESCR;Buy it and be cool;
room3SHOP;Kindergarden decor;
room3DESCR;Eternal childhood;
room2SHOP;Hawanian room decor;
room2DESCR;Sweet Dreams;
flower1SHOP;Cactus;
flower1DESCR;Protects from radiation;
flower2SHOP;Aloe;
flower2DESCR;Does nothing. Has TESV: Skyrom pre-intsalled. Mandatory for purchase.;
flower3SHOP;Lawn on the shelf;
flower3DESCR;Good for generating oxygen in the room;
flower4SHOP;Cat's joy;
flower4DESCR;In case you run out of food;
mouse3SHOP;"AGITECH ""Angry tomato""";
mouse3DESCR;Increases aim in games;
mouse2SHOP;ORCLICK Q903;
mouse2DESCR;Comfort & usability;
hair2SHOP;"""Fade"" haircut";
hair2DESCR;Held your hand over the head and hairstyle is ready;
hair3SHOP;"""Grunge"" haircut";
hair3DESCR;Stylish, modern. Sadly no one can see it;
hair4SHOP;Messy haircut;
hair4DESCR;The main thing that isn't within the mind;
blackPlayerSHOP;"Shirt ""Jucci""";
blackPlayerDESCR;True classic;
bluePlayerSHOP;Plaid shirt;
bluePlayerDESCR;Be like a hipster;
greenPlayerSHOP;"Turquoise ""Macoste"" polo";
greenPlayerDESCR;Merge with a wave;
chair2SHOP;"Chair ""Like a boss""";
chair2DESCR;Feel like a boss;
chair3SHOP;"""President"" armchair";
chair3DESCR;For the best dictators of the world;
R/G DIVIDE 50%3 BLOCK;RedBlue/RedGreeen;
C/S/T SORT2 BLOCK;Sorting the shape and color;
R/G/B MACHINE SORT2 BLOCK;Two outputs. Perceptron and DSSHAPE;
R/G/B MACHINE SORT3 BLOCK;DSSHAPE and Perceptron ;
ONLY SQUARE 60%3 BLOCK;DSSHAPE and DSTREE;
GENETIC DIVIDE2 BLOCK;GreenBlue/All/All;
C/S/T SORT1 BLOCK;Sorting the shape and color;
LOWVIDEO;Ultra graphics quality;
HIGHVIDEO;Ultra performance;
